aX,aY,aZ
0.439,0.529,1.371
0.503,0.635,1.384
0.604,0.667,1.315
0.579,0.741,1.295
0.619,0.829,1.269
0.573,0.846,1.277
0.573,0.87,1.279
0.589,0.825,1.245
0.582,0.83,1.244
0.584,0.852,1.172
0.588,0.854,0.992
0.564,0.82,0.952
0.537,0.808,0.888
0.456,0.869,0.867
0.45,0.902,0.824
0.51,0.905,0.794
0.606,0.891,0.773
0.653,0.893,0.712
0.753,0.965,0.698
0.795,0.989,0.67
0.821,0.977,0.686
0.815,1.002,0.706
0.798,1.005,0.636
0.772,1.013,0.589
0.783,1.011,0.558
0.82,0.937,0.55
0.838,0.889,0.529
0.871,0.877,0.525
0.842,0.861,0.515
0.843,0.888,0.468
0.858,0.911,0.444
0.863,0.976,0.393
0.861,0.977,0.339
0.826,0.959,0.296
0.64,1.054,0.439
0.734,1.062,0.453
0.703,1.021,0.383
0.684,1.018,0.29
0.665,1.034,0.317
0.684,0.942,0.277
0.724,0.877,0.152
0.726,0.869,0.12
0.724,0.844,0.158
0.747,0.794,0.178
0.769,0.732,0.07
0.784,0.722,0.062
0.78,0.655,-0.004
0.735,0.638,0.015
0.712,0.646,0.041
0.704,0.653,0.051
0.71,0.629,0.045
0.738,0.575,-0.041
0.814,0.561,-0.144
0.937,0.61,-0.198
0.956,0.574,-0.159
0.917,0.48,-0.107
0.835,0.452,-0.04
0.808,0.278,-0.049
0.793,0.311,-0.064
0.81,0.345,-0.067
0.789,0.326,-0.168
0.771,0.238,-0.216
0.754,0.257,-0.247
0.703,0.255,-0.241
0.664,0.309,-0.267
0.629,0.324,-0.246
0.626,0.415,-0.244
0.707,0.297,-0.44
0.869,0.301,-0.472
0.895,0.342,-0.482
0.874,0.31,-0.488
0.72,0.367,-0.466
0.774,0.405,-0.482
0.784,0.25,-0.549
0.833,0.371,-0.533
0.848,0.311,-0.482
0.856,0.304,-0.403
0.785,0.295,-0.451
0.811,0.25,-0.349
0.769,0.244,-0.32
0.515,0.234,-0.318
0.496,0.16,-0.339
0.647,0.047,-0.424
0.723,0.049,-0.337
0.736,0.026,-0.29
0.691,-0.013,-0.33
0.623,-0.146,-0.427
0.633,-0.178,-0.435
0.65,-0.117,-0.439
0.657,-0.035,-0.45
0.636,-0.039,-0.408
0.608,-0.05,-0.312
0.538,-0.093,-0.324
0.583,-0.279,-0.352
0.673,-0.226,-0.305
0.683,-0.274,-0.393
0.677,-0.274,-0.338
0.638,-0.214,-0.28
0.621,-0.199,-0.292
0.613,-0.122,-0.257
0.635,-0.166,-0.266
0.662,-0.253,-0.271
0.695,-0.295,-0.244
0.696,-0.316,-0.216
0.671,-0.326,-0.207
0.69,-0.305,-0.21
0.658,-0.264,-0.264
0.675,-0.198,-0.27
0.656,-0.14,-0.267
0.645,-0.127,-0.24
0.633,-0.166,-0.192
0.655,-0.181,-0.093
0.636,-0.224,-0.142
0.646,-0.277,-0.126
0.647,-0.21,-0.099
0.639,-0.143,-0.078
0.614,-0.137,-0.052
0.578,-0.131,-0.042
0.497,-0.116,-0.018
0.39,-0.239,1.448
0.431,-0.354,1.473
0.466,-0.378,1.478
0.515,-0.407,1.509
0.533,-0.412,1.518
0.478,-0.373,1.505
0.458,-0.338,1.505
0.567,-0.329,1.611
0.662,-0.261,1.632
0.575,-0.172,1.621
0.533,-0.148,1.547
0.458,-0.117,1.484
0.415,-0.131,1.319
0.416,-0.153,1.189
0.483,-0.181,1.152
0.515,-0.192,1.037
