aX,aY,aZ
-0.171,0.989,1.081
-0.181,0.547,0.968
0.404,-1.353,0.945
0.597,-0.636,1.022
0.187,-0.476,1.19
-0.044,-0.279,1.171
-0.068,-0.021,1.034
-0.087,0.032,1.005
-0.106,0.019,1.008
-0.098,0.005,0.983
-0.069,0.008,1.035
-0.062,-0.045,1.093
-0.068,-0.038,1.084
-0.109,-0.02,1.085
-0.206,0.003,1.054
-0.212,-0.002,1.043
-0.186,0.078,1.157
-0.14,0.069,1.187
-0.188,0.026,1.109
-0.207,-0.032,0.921
-0.168,-0.029,0.941
-0.099,-0.024,0.974
-0.069,-0.027,1.052
-0.042,-0.067,1.064
0.01,-0.109,1.075
0.053,-0.061,1.118
0.097,-0.03,1.095
0.003,-0.064,1.02
0.024,-0.016,0.91
-0.007,0.018,1.041
0.115,0.083,1.099
0.145,0.125,1.059
0.124,0.157,1.034
0.1,0.177,0.995
0.226,0.248,1.123
0.279,0.234,1.262
0.383,0.192,1.32
0.443,0.063,1.39
0.448,0.124,1.665
0.572,0.241,2.198
0.534,0.093,2.17
0.557,-0.034,1.907
0.489,-0.058,1.483
0.403,0.023,1.282
0.309,0.116,0.783
0.113,0.204,0.66
0.063,0.187,0.805
0.078,0.146,0.952
0.163,0.059,1.092
0.134,0.001,0.892
0.178,-0.039,0.863
0.214,-0.035,0.86
0.26,-0.037,0.901
0.27,-0.055,0.951
0.299,-0.082,1.128
0.333,-0.19,1.229
0.29,-0.214,1.205
0.276,-0.183,1.16
0.222,-0.074,1.078
0.209,0.569,0.865
0.081,1.487,0.206
0.197,1.016,-0.042
0.35,0.202,0.691
0.177,0.035,1.053
0.112,0.044,1.326
0.139,0.123,1.132
0.213,0.306,1.063
0.194,0.492,1.086
0.095,0.444,1.181
0.053,0.481,1.099
0.327,0.498,0.766
0.639,0.447,0.672
0.857,0.503,0.596
1.165,0.543,0.618
0.958,0.427,0.681
0.753,0.355,0.787
0.676,0.3,0.84
0.547,0.306,0.915
0.481,0.279,1.071
0.447,0.359,1.1
0.389,0.412,1.097
0.268,0.403,1.073
0.164,0.411,1.01
0.124,0.583,0.85
0.188,0.81,0.99
0.218,0.755,0.863
0.232,0.671,0.39
0.321,0.571,0.351
0.372,0.397,0.198
0.371,0.475,0.201
0.386,0.628,0.456
0.427,0.906,0.592
0.451,0.936,0.82
0.471,0.828,0.796
0.541,0.693,0.764
0.543,0.641,0.776
0.555,0.599,0.707
0.565,0.41,0.601
0.572,0.328,0.522
0.555,0.394,0.554
0.529,0.471,0.563
0.479,0.531,0.475
0.418,0.648,0.578
0.492,0.666,0.803
0.56,0.579,0.822
0.474,0.673,0.863
0.5,0.731,0.873
0.404,0.466,0.956
0.299,0.422,0.963
0.42,0.732,0.985
0.423,0.822,0.973
0.48,0.69,0.991
0.531,0.768,0.967
0.578,0.684,0.913
0.605,0.707,0.919
0.647,0.592,0.936
0.621,0.659,0.948
0.622,0.791,1.007
0.609,0.805,0.956
0.613,0.992,0.926
0.635,0.986,0.945
0.63,1.072,0.915
0.616,1.022,0.892
0.575,0.91,0.851
0.515,0.849,0.85
0.507,0.821,0.907
0.565,0.867,0.936
0.651,0.795,0.948
0.627,0.623,0.809
0.529,0.377,0.854
0.346,-0.125,0.869
0.229,-0.777,0.771
0.276,-1.205,0.593
0.791,-0.757,0.881
1.022,-0.152,0.716
1.174,0.246,0.639
1.113,-0.003,0.747
0.793,-0.041,0.881
0.581,0.025,0.862
0.523,0.273,0.878
0.557,0.351,0.911
0.603,0.375,0.866
0.614,0.19,0.703
0.614,0.215,0.71
0.618,0.151,0.819
0.64,0.171,0.785
0.677,0.178,0.75
0.674,0.128,0.692
0.663,0.111,0.699
0.631,0.069,0.652
0.652,0.087,0.632
0.651,0.074,0.582
0.637,0.064,0.551
0.613,0.053,0.524
0.574,0.054,0.502
0.555,-0.024,0.516
0.534,-0.051,0.542
0.477,-0.038,0.573
0.442,-0.075,0.596
0.423,-0.098,0.649
0.391,-0.1,0.691
0.368,-0.093,0.73
0.349,-0.114,0.802
0.339,-0.117,0.849
0.257,-0.214,0.819
0.256,-0.275,0.867
0.445,-0.236,0.994
0.501,-0.255,0.902
0.485,-0.308,0.876
0.412,-0.414,0.849
0.394,-0.468,0.828
0.398,-0.491,0.79
0.368,-0.515,0.764
0.346,-0.554,0.704
0.293,-0.585,0.651
0.238,-0.669,0.621
0.175,-0.753,0.544
0.164,-0.79,0.586
0.133,-0.875,0.584
0.1,-0.986,0.573
0,-1.026,0.591
-0.117,-1.083,0.736
-0.206,-1.116,0.665
-0.257,-1.17,0.738
-0.326,-1.2,0.84
-0.355,-1.257,0.886
-0.263,-1.308,0.984
-0.319,-1.331,1.074
-0.328,-1.325,1.159
-0.324,-1.384,1.187
-0.314,-1.378,1.258
-0.296,-1.357,1.296
-0.282,-1.353,1.319
-0.253,-1.345,1.327
-0.164,-1.369,1.296
-0.111,-1.408,1.192
-0.039,-1.436,1.017
0.02,-1.517,1.016
0.044,-1.699,0.925
0.081,-1.698,0.759
0.069,-1.82,0.74
0.052,-1.872,0.642
0.03,-1.954,0.603
-0.009,-1.992,0.534
-0.042,-1.983,0.566
-0.069,-1.963,0.583
-0.112,-1.921,0.602
-0.248,-1.863,0.658
-0.139,-1.828,0.712
-0.152,-1.724,0.719
-0.122,-1.673,0.786
-0.111,-1.619,0.794
-0.107,-1.578,0.715
-0.094,-1.495,0.845
-0.05,-1.374,0.793
-0.049,-1.321,0.721
-0.066,-1.244,0.706
-0.084,-1.075,0.596
-0.09,-0.996,0.662
-0.06,-0.889,0.632
-0.062,-0.735,0.663
-0.051,-0.58,0.617
-0.068,-0.506,0.627
-0.02,-0.323,0.699
0.007,-0.265,0.732
0.054,-0.154,0.709
0.074,0.035,0.767
0.131,0.102,0.802
0.171,0.261,0.804
0.026,0.472,0.747
0.054,0.572,0.655
-0.093,0.807,0.617
-0.239,1.083,0.576
-0.309,1.232,0.485
-0.678,1.728,0.351
-0.512,1.983,0.51
-0.654,2.266,0.23
-0.7,2.28,0.241
-0.603,2.28,0.737
-0.658,2.315,0.853
-0.768,2.36,0.884
-0.838,2.384,0.957
-0.993,2.396,1.027
-0.982,2.384,1.244
-0.935,2.385,1.498
-0.874,2.386,1.6
-0.82,2.408,1.723
-0.776,2.418,1.791
-0.661,2.427,1.81
-0.586,2.408,1.861
-0.415,2.382,1.853
-0.263,2.201,1.835
-0.188,2.193,1.794
0.013,2.181,1.755
0.199,2.14,1.666
0.263,2.041,1.621
0.312,1.93,1.53
0.325,1.822,1.442
0.302,1.756,1.397
0.196,1.73,1.297
0.052,1.705,1.242
-0.025,1.702,1.145
-0.196,1.704,1.063
-0.35,1.708,0.989
-0.485,1.706,0.933
-0.59,1.705,0.91
-0.649,1.665,0.864
-0.663,1.601,0.832
-0.645,1.515,0.797
-0.621,1.395,0.761
-0.589,1.28,0.733
-0.566,1.171,0.72
-0.514,1.118,0.718
-0.462,1.023,0.717
-0.405,0.941,0.724
-0.349,0.861,0.736
-0.322,0.771,0.752
-0.275,0.653,0.765
-0.249,0.59,0.758
-0.25,0.476,0.753
-0.26,0.37,0.751
-0.269,0.274,0.762
-0.304,0.227,0.775
-0.338,0.153,0.777
-0.362,0.099,0.773
-0.366,0.04,0.76
-0.374,0.005,0.627
-0.367,-0.076,0.743
-0.374,-0.124,0.724
-0.366,-0.186,0.71
-0.336,-0.284,0.72
-0.289,-0.386,0.723
-0.268,-0.441,0.725
-0.219,-0.46,0.712
-0.159,-0.512,0.725
-0.117,-0.571,0.725
-0.075,-0.663,0.73
-0.057,-0.732,0.737
-0.047,-0.747,0.864
